Week,Year,Week,Max_Week_Date,Age_adjusted_unvax_IR,Age_adjusted_vax_IR
2021-14,2021,14,2021-03-29,196.87,21.51
2021-15,2021,15,2021-04-05,198.98,19.36
2021-16,2021,16,2021-04-12,172.64,17.88
2021-17,2021,17,2021-04-19,158.67,17.04
2021-18,2021,18,2021-04-26,135.11,11.92
2021-19,2021,19,2021-05-03,115.71,9.2
2021-20,2021,20,2021-05-10,89.77,7.8
2021-21,2021,21,2021-05-17,68.84,6.04
2021-22,2021,22,2021-05-24,55.61,5.39
2021-23,2021,23,2021-05-31,51.11,5.46
2021-24,2021,24,2021-06-07,49.18,5.72
2021-25,2021,25,2021-06-14,55.45,7.63
2021-26,2021,26,2021-06-21,74.11,11.72
2021-27,2021,27,2021-06-28,113.62,19.84
2021-28,2021,28,2021-07-05,184.16,36.15
2021-29,2021,29,2021-07-12,303.32,62.62
2021-30,2021,30,2021-07-19,453.49,94.88
2021-31,2021,31,2021-07-26,561.17,120.21
2021-32,2021,32,2021-08-02,637.42,131.6
2021-33,2021,33,2021-08-09,680.11,137.1
2021-34,2021,34,2021-08-16,699.12,140.8
2021-35,2021,35,2021-08-23,664.07,133.53
2021-36,2021,36,2021-08-30,590.81,119.91
2021-37,2021,37,2021-09-06,518.41,108.8
2021-38,2021,38,2021-09-13,433.67,93.57
2021-39,2021,39,2021-09-20,383.11,88.64
2021-40,2021,40,2021-09-27,345.4,82.79
2021-41,2021,41,2021-10-04,303.96,73.52
2021-42,2021,42,2021-10-11,280.86,69.33
2021-43,2021,43,2021-10-18,291.53,73.58
2021-44,2021,44,2021-10-25,309.14,83.11
2021-45,2021,45,2021-11-01,345.31,90.3
2021-46,2021,46,2021-11-08,383.4,97.35
2021-47,2021,47,2021-11-15,339.75,86.65
2021-48,2021,48,2021-11-22,508.57,128.29
2021-49,2021,49,2021-11-29,485.99,103.77
2021-50,2021,50,2021-12-06,605.37,191.93
2021-51,2021,51,2021-12-13,993.46,436.37
2021-52,2021,52,2021-12-20,2200.97,984.2
2022-01,2022,1,2022-01-01,3101.24,1437.3
2022-02,2022,2,2022-01-03,2891.49,1205.31
2022-03,2022,3,2022-01-10,2225.49,901.84
2022-04,2022,4,2022-01-17,1503.01,558.39
2022-05,2022,5,2022-01-24,850.34,305.94
2022-06,2022,6,2022-01-31,503.03,180.67
2022-07,2022,7,2022-02-07,287.11,101.53
