State,New_Case,New_Death,Share_Vaccination,New_Case_per_100,New_Death_per_100
New Hampshire,21895,56,95,0.21895,0.00056
Massachusetts,109703,463,94,1.09703,0.00463
Rhode Island,21565,84,93.7,0.21565,0.00084
Connecticut,34102,213,91.9,0.34102,0.00213
Vermont,11683,24,91.6,0.11683,0.00024
Maine,14771,40,88.2,0.14771,0.0004
New York,106574,584,86.9,1.06574,0.00584
New Jersey,79440,667,86.7,0.7944,0.00667
California,781135,782,86,7.81135,0.00782
Hawaii,32685,19,85.3,0.32685,0.00019
New Mexico,38995,114,83.8,0.38995,0.00114
Maryland,42116,400,83.1,0.42116,0.004
Virginia,96579,85,82.7,0.96579,0.00085
Pennsylvania,134711,876,81.3,1.34711,0.00876
North Carolina,210839,453,80.2,2.10839,0.00453
Delaware,13614,56,79.6,0.13614,0.00056
Washington,109384,209,78.1,1.09384,0.00209
Colorado,83528,183,77,0.83528,0.00183
Florida,221857,1500,76.8,2.21857,0.015
Oregon,57501,53,75.7,0.57501,0.00053
Illinois,183722,914,74.8,1.83722,0.00914
South Dakota,13519,42,73.4,0.13519,0.00042
Minnesota,78488,180,73.1,0.78488,0.0018
Nevada,41736,109,72.4,0.41736,0.00109
Kansas,60132,157,72,0.60132,0.00157
Wisconsin,148595,297,70,1.48595,0.00297
Arizona,141475,386,69.5,1.41475,0.00386
Texas,404097,864,69.2,4.04097,0.00864
Utah,75655,79,69,0.75655,0.00079
Oklahoma,82524,132,68.7,0.82524,0.00132
Nebraska,29141,29,68.3,0.29141,0.00029
Alaska,16283,1,67.6,0.16283,0.00001
Iowa,36953,116,66.4,0.36953,0.00116
South Carolina,113487,152,65.3,1.13487,0.00152
Michigan,140169,368,64.9,1.40169,0.00368
Arkansas,59044,68,64.7,0.59044,0.00068
Kentucky,89291,218,64.3,0.89291,0.00218
Missouri,80520,410,64.2,0.8052,0.0041
North Dakota,16000,22,63.7,0.16,0.00022
Montana,10015,31,63.4,0.10015,0.00031
Georgia,116356,366,63.3,1.16356,0.00366
West Virginia,30673,93,63.3,0.30673,0.00093
Ohio,138253,1065,62,1.38253,0.01065
Alabama,90076,279,60.6,0.90076,0.00279
Tennessee,115447,475,60.3,1.15447,0.00475
Indiana,98650,525,59.5,0.9865,0.00525
Louisiana,63399,187,59.2,0.63399,0.00187
Mississippi,46754,96,57.8,0.46754,0.00096
Wyoming,8901,13,57.3,0.08901,0.00013
Idaho,17200,48,54.1,0.172,0.00048
