Week,Year,Week_no,Max_Week_Date,Age_adjusted_unvax_IR,Age_adjusted_vax_IR
2021-14,2021,14,2021-03-29,196.8683326,21.50705431
2021-15,2021,15,2021-04-05,198.9782984,19.35538731
2021-16,2021,16,2021-04-12,172.6406307,17.88479339
2021-17,2021,17,2021-04-19,158.6653109,17.03898279
2021-18,2021,18,2021-04-26,135.1070639,11.9157535
2021-19,2021,19,2021-05-03,115.7062372,9.201893553
2021-20,2021,20,2021-05-10,89.76750714,7.798705398
2021-21,2021,21,2021-05-17,68.84376723,6.038551053
2021-22,2021,22,2021-05-24,55.60818535,5.385438514
2021-23,2021,23,2021-05-31,51.11165012,5.456874767
2021-24,2021,24,2021-06-07,49.1764847,5.720695834
2021-25,2021,25,2021-06-14,55.44852995,7.627797253
2021-26,2021,26,2021-06-21,74.10644854,11.71746109
2021-27,2021,27,2021-06-28,113.6237144,19.84410712
2021-28,2021,28,2021-07-05,184.1588449,36.14920479
2021-29,2021,29,2021-07-12,303.3241204,62.62090321
2021-30,2021,30,2021-07-19,453.4926057,94.88046792
2021-31,2021,31,2021-07-26,561.1710469,120.208363
2021-32,2021,32,2021-08-02,637.4180115,131.5993181
2021-33,2021,33,2021-08-09,680.1138294,137.1023703
2021-34,2021,34,2021-08-16,699.1158309,140.8047158
2021-35,2021,35,2021-08-23,664.0662437,133.5282814
2021-36,2021,36,2021-08-30,590.8085673,119.9057195
2021-37,2021,37,2021-09-06,518.4098656,108.8040097
2021-38,2021,38,2021-09-13,433.6650795,93.56716167
2021-39,2021,39,2021-09-20,383.1057573,88.63809761
2021-40,2021,40,2021-09-27,345.3987691,82.78651191
2021-41,2021,41,2021-10-04,303.9595593,73.51681709
2021-42,2021,42,2021-10-11,280.8633499,69.32748762
2021-43,2021,43,2021-10-18,291.5322098,73.57963625
2021-44,2021,44,2021-10-25,309.1390058,83.10642141
2021-45,2021,45,2021-11-01,345.3113994,90.30281244
2021-46,2021,46,2021-11-08,383.4025061,97.35108856
2021-47,2021,47,2021-11-15,339.7521317,86.65484346
2021-48,2021,48,2021-11-22,508.567091,128.2916343
2021-49,2021,49,2021-11-29,485.9857938,103.7748865
2021-50,2021,50,2021-12-06,605.3703939,191.9257628
2021-51,2021,51,2021-12-13,993.4584137,436.3671219
2021-52,2021,52,2021-12-20,2200.97,984.2012247
2021-1,2021,1,2022-01-01,3101.24,1437.3
2022-2,2022,2,2022-01-03,2891.49,1205.31
2022-3,2022,3,2022-01-10,2225.49,901.8381147
2022-4,2022,4,2022-01-17,1503.01,558.3935682
2022-5,2022,5,2022-01-24,850.3404596,305.9368493
2022-6,2022,6,2022-01-31,503.0287862,180.6744684
2022-7,2022,7,2022-02-07,287.1102875,101.5285448
